datetime,blockchain,native,canonical,external,tvs,eth_price
2023-06-16,optimism,748110906.0,1407965459.3745725,23343562.32696533,2179419927.701538,1665.7098
2023-06-16,starknet,0.0,59972769.15625,0.0,59972769.15625,1665.7098
2023-06-16,zksync,0.0,4965337.0,1371312.98828125,6336649.98828125,1665.7098
2023-06-16,base,0.0,932.7999877929688,0.0,932.7999877929688,1665.7098
2023-06-15,arbitrum,1701956022.0,3969072665.6678414,424597849.3649998,6095626537.032841,1650.6766
2023-06-15,optimism,733899602.5,1399040992.0563586,23167866.065704346,2156108460.6220627,1650.6766
2023-06-15,starknet,0.0,59456906.68374634,0.0,59456906.68374634,1650.6766
2023-06-15,zksync,0.0,3381199.75,1368154.5390625,4749354.2890625,1650.6766
2023-06-14,arbitrum,1783910628.0,4089723339.321158,408462823.9737501,6282096791.294908,1736.7894
2023-06-14,optimism,777514837.5,1437759088.7110922,23732675.91030884,2239006602.121401,1736.7894
2023-06-14,starknet,0.0,60944933.30250549,0.0,60944933.30250549,1736.7894
2023-06-14,zksync,0.0,3111084.25,1409285.03125,4520369.28125,1736.7894
2023-06-13,arbitrum,1759475856.5,4088333091.779861,407215603.40875006,6255024551.68861,1742.9285
2023-06-13,optimism,767362747.0,1440290866.0062482,23615175.14718437,2231268788.153433,1742.9285
2023-06-13,starknet,0.0,60725387.96875,0.0,60725387.96875,1742.9285
2023-06-13,zksync,0.0,2774667.0,1411361.78125,4186028.78125,1742.9285
2023-06-12,arbitrum,1765018713.75,4095076391.175165,397187044.02437496,6257282148.94954,1751.7246
2023-06-12,optimism,741294162.0,1438647040.648749,23457799.093759537,2203399001.742509,1751.7246
2023-06-12,starknet,0.0,60536813.34375,0.0,60536813.34375,1751.7246
2023-06-12,zksync,0.0,2475820.5,1411459.5703125,3887280.0703125,1751.7246
2023-06-11,arbitrum,1784908802.25,4089454371.9538255,403027725.30875015,6277390899.512575,1754.0156
2023-06-11,optimism,746065161.5,1434596332.918574,23452942.457963943,2204114436.8765383,1754.0156
2023-06-11,starknet,0.0,61058896.53125,0.0,61058896.53125,1754.0156
2023-06-11,zksync,0.0,2408438.5,1416211.48828125,3824649.98828125,1754.0156
2023-06-10,arbitrum,2016478487.125,4254348607.520197,446951560.89593744,6717778655.541134,1839.208
2023-06-10,optimism,902474611.5,1496445597.1809394,25221118.582983017,2424141327.2639227,1839.208
2023-06-10,starknet,0.0,62484119.9375,0.0,62484119.9375,1839.208
2023-06-10,zksync,0.0,1761732.375,1473833.40234375,3235565.77734375,1839.208
2023-06-09,arbitrum,2017989955.25,4264653297.8099895,426540475.80125,6709183728.86124,1846.03
2023-06-09,optimism,929387955.5,1500453789.379399,25436196.809230804,2455277941.68863,1846.03
2023-06-09,starknet,0.0,63487319.8125,0.0,63487319.8125,1846.03
2023-06-09,zksync,0.0,1468415.875,1480255.24609375,2948671.12109375,1846.03
2023-06-08,arbitrum,2012367307.375,4241138132.0720224,399413298.1531248,6652918737.600147,1832.3204
2023-06-08,optimism,927733971.5,1496347673.663314,24959536.0018692,2449041181.165183,1832.3204
2023-06-08,starknet,0.0,62648457.5,0.0,62648457.5,1832.3204
2023-06-08,zksync,0.0,1131883.0,1480389.546875,2612272.546875,1832.3204
2023-06-07,arbitrum,2117334397.25,4344207084.655757,384514423.0505762,6846055904.956333,1883.2426
2023-06-07,optimism,1013078894.0,1533845391.3162038,25573565.64374733,2572497850.9599514,1883.2426
2023-06-07,starknet,0.0,63425546.59375,0.0,63425546.59375,1883.2426
2023-06-07,zksync,0.0,1059605.125,1507390.328125,2566995.453125,1883.2426
2023-06-06,arbitrum,2040069188.75,4197899040.3899193,354304618.77064466,6592272847.910564,1813.6816
2023-06-06,optimism,938627291.0,966948388.493028,24771743.794059757,1930347423.287088,1813.6816
2023-06-06,starknet,0.0,60833742.640625,0.0,60833742.640625,1813.6816
2023-06-06,zksync,0.0,760780.0,1473238.2734375,2234018.2734375,1813.6816
2023-06-05,arbitrum,2170557334.0,4367204511.944597,407277196.2752733,6945039042.219871,1891.2286
2023-06-05,optimism,1001009187.5,991631142.8470336,25884679.536726,2018525009.8837595,1891.2286
2023-06-05,starknet,0.0,63188301.4375,0.0,63188301.4375,1891.2286
2023-06-05,zksync,0.0,394114.1875,1518771.74609375,1912885.93359375,1891.2286
2023-06-04,arbitrum,2169086033.0,4364932316.067779,413016132.2609325,6947034481.328711,1892.0781
2023-06-04,optimism,1001920526.0,991533346.6331584,25763781.92734528,2019217654.560504,1892.0781
2023-06-04,starknet,0.0,62794542.21875,0.0,62794542.21875,1892.0781
2023-06-04,zksync,0.0,160832.375,1514388.10546875,1675220.48046875,1892.0781
2023-06-03,arbitrum,2210294785.875,4390465084.576288,412311103.0403223,7013070973.491611,1907.2123
2023-06-03,optimism,980471700.0,992310145.9465714,26027489.44217491,1998809335.3887465,1907.2123
2023-06-03,starknet,0.0,62279727.0,0.0,62279727.0,1907.2123
2023-06-03,zksync,0.0,132573.234375,1524380.9140625,1656954.1484375,1907.2123
2023-06-02,arbitrum,2067013308.5,4290672453.804337,383265989.8293552,6740951752.133692,1861.7253
2023-06-02,optimism,940745604.0,968938299.8511928,25589294.96063614,1935273198.8118289,1861.7253
2023-06-02,starknet,0.0,60466751.28125,0.0,60466751.28125,1861.7253
2023-06-02,zksync,0.0,132560.765625,1501383.78125,1633944.546875,1861.7253
2023-06-01,arbitrum,2097731393.875,4337275513.483841,382663650.5690594,6817670557.9279,1874.6948
2023-06-01,optimism,944603748.0,983101753.7260916,25660252.767972942,1953365754.4940648,1874.6948
2023-06-01,starknet,0.0,60633088.03125,0.0,60633088.03125,1874.6948
2023-06-01,zksync,0.0,132566.84375,1504873.46484375,1637440.30859375,1874.6948
2023-05-31,arbitrum,2186961970.625,4388343279.349298,398901958.6212444,6974207208.595542,1901.0784
2023-05-31,optimism,530378900.0,995068654.280476,26230547.504693985,1551678101.7851698,1901.0784
2023-05-31,starknet,0.0,60220322.875,0.0,60220322.875,1901.0784
2023-05-31,zksync,0.0,12.239999771118164,1519726.9140625,1519739.1540622711,1901.0784
