date,avg_block_size,avg_block_gas_limit,avg_block_gas_used,target_blob_gas_per_block,max_blob_gas_per_block,target_blobs_per_block,max_blobs_per_block,gas_per_blob,blocks_count,total_blob_gas_used,total_blobs,avg_blobs_per_block,avg_blob_gas_used,avg_max_gas_utilization,avg_target_gas_utilization,avg_blob_gas_price,avg_blob_base_fee
2025-07-12 00:00:00.000 UTC,91949.66927265112,36067115,18177691,786432,1179648,6,9,131072,7163,3773300736,28788,4.01898645818791,526776.5930476057,0.4465540509097659,0.6698310763646513,1,526776.5930476057
2025-07-11 00:00:00.000 UTC,97082.86179885299,36035957,18142704,786432,1179648,6,9,131072,7149,3824025600,29175,4.080990348300461,534903.566932438,0.4534433720333857,0.6801650580500783,1.00055951881382,535233.5845572808
2025-07-10 00:00:00.000 UTC,94974.59036985345,36006047,18160900,786432,1179648,6,9,131072,7165,3975806976,30333,4.233496161898116,554892.8089323099,0.47038846243312293,0.705582693649686,1.002791346824843,556923.3730635032
2025-07-09 00:00:00.000 UTC,95076.07586786115,35999378,18168817,786432,1179648,6,9,131072,7144,3592945664,27412,3.837066069428891,502931.9238521836,0.4263406743809864,0.6395110115714774,1,502931.9238521836
2025-07-08 00:00:00.000 UTC,94215.67006565163,36003986,18145686,786432,1179648,6,9,131072,7159,3482583040,26570,3.7114122084089956,486462.22098058386,0.41237913426766676,0.6185687014014922,1.0002793686269031,486517.14708758204
2025-07-07 00:00:00.000 UTC,90971.73215034232,35997383,18163021,786432,1179648,6,9,131072,7157,3439853568,26244,3.6668995389129524,480627.8563643985,0.4074332821014395,0.6111499231521489,1,480627.8563643985
2025-07-06 00:00:00.000 UTC,89174.46770134228,35998831,18237627,786432,1179648,6,9,131072,7152,3559522304,27157,3.7971196868008947,497696.0715883669,0.42190218742232244,0.6328532811334756,1,497696.0715883669
2025-07-05 00:00:00.000 UTC,87885.20931859521,35995554,18207996,786432,1179648,6,9,131072,7147,3631874048,27709,3.8770113334266125,508167.62949489296,0.43077903704740184,0.6461685555710965,1.0079753742829158,513687.8018749126
2025-07-04 00:00:00.000 UTC,96830.55498185878,35997815,18157335,786432,1179648,6,9,131072,7166,3673423872,28026,3.9109684621825287,512618.4582751884,0.43455205135361663,0.6518280770304195,1.0011163829193412,513295.2185319565
2025-07-03 00:00:00.000 UTC,97111.00992729307,35996592,18140878,786432,1179648,6,9,131072,7152,3599761408,27464,3.8400447427293063,503322.34451901563,0.42667163808103437,0.6400074571215449,1,503322.34451901563
2025-07-02 00:00:00.000 UTC,95265.90190050307,35995915,18170846,786432,1179648,6,9,131072,7156,3763470336,28713,4.012437115707099,525918.1576299609,0.44582634618967865,0.6687395192845147,1,525918.1576299609
2025-07-01 00:00:00.000 UTC,97427.63706293706,35994513,18149604,786432,1179648,6,9,131072,7150,3741188096,28543,3.992027972027972,523243.09034965036,0.44355866355866075,0.6653379953379924,1,523243.09034965036
2025-06-30 00:00:00.000 UTC,94967.78581401843,35997359,18178864,786432,1179648,6,9,131072,7162,3754295296,28643,3.999301870985758,524196.4948338453,0.444366874553976,0.6665503118309604,1,524196.4948338453
2025-06-29 00:00:00.000 UTC,81801.80756302521,35997012,18233695,786432,1179648,6,9,131072,7140,3415343104,26057,3.649439775910364,478339.37030812324,0.40549330843448544,0.6082399626517169,1,478339.37030812324
2025-06-28 00:00:00.000 UTC,94430.32704929479,35997586,18232139,786432,1179648,6,9,131072,7161,3470655488,26479,3.6976679234743752,484660.7300656333,0.41085199149715346,0.616277987245723,1,484660.7300656333
2025-06-27 00:00:00.000 UTC,94283.64150943396,35995530,18147525,786432,1179648,6,9,131072,7155,3490316288,26629,3.7217330538085256,487814.99482879107,0.4135258948676132,0.6202888423014169,1,487814.99482879107
2025-06-26 00:00:00.000 UTC,97596.06060606061,35996722,18158297,786432,1179648,6,9,131072,7161,3684827136,28113,3.925848345203184,514568.79430247174,0.4362053716892432,0.6543080575338629,1,514568.79430247174
2025-06-25 00:00:00.000 UTC,101339.8754711713,35997746,18103237,786432,1179648,6,9,131072,7163,3632660480,27715,3.8691888873377076,507142.325841128,0.42990987637085737,0.644864814556282,1.0022337009632836,508770.8904090465
2025-06-24 00:00:00.000 UTC,96962.31975446429,35995442,18170356,786432,1179648,6,9,131072,7168,3551133696,27093,3.7797154017857144,495414.85714285716,0.41996837797619196,0.6299525669642801,1,495414.85714285716
